y,<rho>,<p>,<T>,<u>,<v>,<w>,<mu>,<rho.T>/<rho>,<rho.u>/<rho>,<rho.v>/<rho>,<rho.w>/<rho>,<T">,<u">,<v">,<w">,<u'u'>,<v'v'>,<w'w'>,<u'v'>,<T'T'>,<v'T'>
-0.8003820363E+00, 0.99750E+00, 0.42821E+00, 0.13527E+01, 0.93906E+00,-0.35871E-03, 0.43905E-03,0.12354E+01,0.13522E+01,0.93675E+00,-0.26928E-04, 0.44288E-03, 0.43083E-03,0.23102E-02,-0.33178E-03,-0.38393E-05, 0.20077E-01, 0.19181E-02, 0.40549E-02,-0.27447E-02, 0.72326E-03,-0.48665E-03
-0.7842081743E+00, 0.99523E+00, 0.42808E+00, 0.13553E+01, 0.95441E+00,-0.34289E-03, 0.37749E-03,0.12371E+01,0.13549E+01,0.95242E+00,-0.28419E-04, 0.38163E-03, 0.35412E-03,0.19925E-02,-0.31447E-03,-0.41384E-05, 0.18700E-01, 0.20530E-02, 0.40692E-02,-0.27470E-02, 0.63044E-03,-0.46382E-03
-0.7674831634E+00, 0.99327E+00, 0.42797E+00, 0.13575E+01, 0.96830E+00,-0.32634E-03, 0.37060E-03,0.12385E+01,0.13572E+01,0.96658E+00,-0.29902E-04, 0.37521E-03, 0.29053E-03,0.17173E-02,-0.29644E-03,-0.46097E-05, 0.17436E-01, 0.21710E-02, 0.40684E-02,-0.27372E-02, 0.55212E-03,-0.44061E-03
-0.7502187581E+00, 0.99157E+00, 0.42787E+00, 0.13595E+01, 0.98097E+00,-0.30953E-03, 0.42601E-03,0.12398E+01,0.13593E+01,0.97949E+00,-0.31367E-04, 0.43096E-03, 0.23789E-03,0.14797E-02,-0.27816E-03,-0.49570E-05, 0.16279E-01, 0.22707E-02, 0.40586E-02,-0.27167E-02, 0.48577E-03,-0.41723E-03
-0.7324270919E+00, 0.99008E+00, 0.42780E+00, 0.13613E+01, 0.99261E+00,-0.29297E-03, 0.52239E-03,0.12409E+01,0.13611E+01,0.99133E+00,-0.32826E-04, 0.52699E-03, 0.19416E-03,0.12748E-02,-0.26014E-03,-0.45991E-05, 0.15219E-01, 0.23505E-02, 0.40440E-02,-0.26863E-02, 0.42903E-03,-0.39382E-03
-0.7141206690E+00, 0.98878E+00, 0.42774E+00, 0.13628E+01, 0.10034E+01,-0.27700E-03, 0.62372E-03,0.12419E+01,0.13627E+01,0.10023E+01,-0.34302E-04, 0.62727E-03, 0.15751E-03,0.10967E-02,-0.24269E-03,-0.35592E-05, 0.14240E-01, 0.24102E-02, 0.40223E-02,-0.26468E-02, 0.37976E-03,-0.37066E-03
-0.6953123553E+00, 0.98763E+00, 0.42771E+00, 0.13643E+01, 0.10135E+01,-0.26164E-03, 0.68828E-03,0.12429E+01,0.13642E+01,0.10126E+01,-0.35915E-04, 0.69058E-03, 0.12665E-03,0.94039E-03,-0.22573E-03,-0.23059E-05, 0.13330E-01, 0.24512E-02, 0.39854E-02,-0.25990E-02, 0.33646E-03,-0.34793E-03
-0.6760153695E+00, 0.98661E+00, 0.42769E+00, 0.13656E+01, 0.10231E+01,-0.24697E-03, 0.68857E-03,0.12437E+01,0.13655E+01,0.10223E+01,-0.37868E-04, 0.68951E-03, 0.10054E-03,0.80320E-03,-0.20910E-03,-0.94368E-06, 0.12492E-01, 0.24753E-02, 0.39302E-02,-0.25440E-02, 0.29807E-03,-0.32578E-03
-0.6562432737E+00, 0.98570E+00, 0.42768E+00, 0.13668E+01, 0.10323E+01,-0.23308E-03, 0.63726E-03,0.12445E+01,0.13667E+01,0.10316E+01,-0.40244E-04, 0.63715E-03, 0.78422E-04,0.68354E-03,-0.19283E-03, 0.11539E-06, 0.11728E-01, 0.24841E-02, 0.38653E-02,-0.24822E-02, 0.26382E-03,-0.30436E-03
-0.6360099639E+00, 0.98490E+00, 0.42769E+00, 0.13679E+01, 0.10411E+01,-0.21992E-03, 0.57306E-03,0.12452E+01,0.13679E+01,0.10405E+01,-0.42960E-04, 0.57262E-03, 0.59719E-04,0.57924E-03,-0.17696E-03, 0.43394E-06, 0.11022E-01, 0.24791E-02, 0.37964E-02,-0.24136E-02, 0.23329E-03,-0.28369E-03
-0.6153296603E+00, 0.98419E+00, 0.42771E+00, 0.13690E+01, 0.10496E+01,-0.20758E-03, 0.52995E-03,0.12459E+01,0.13689E+01,0.10491E+01,-0.45798E-04, 0.52967E-03, 0.44017E-04,0.48850E-03,-0.16178E-03, 0.28254E-06, 0.10365E-01, 0.24619E-02, 0.37225E-02,-0.23397E-02, 0.20614E-03,-0.26390E-03
-0.5942168971E+00, 0.98357E+00, 0.42774E+00, 0.13699E+01, 0.10580E+01,-0.19630E-03, 0.52729E-03,0.12465E+01,0.13699E+01,0.10576E+01,-0.48533E-04, 0.52706E-03, 0.31097E-04,0.41063E-03,-0.14777E-03, 0.23524E-06, 0.97610E-02, 0.24340E-02, 0.36414E-02,-0.22636E-02, 0.18239E-03,-0.24527E-03
-0.5726865127E+00, 0.98303E+00, 0.42778E+00, 0.13708E+01, 0.10661E+01,-0.18613E-03, 0.57011E-03,0.12470E+01,0.13708E+01,0.10658E+01,-0.51129E-04, 0.57005E-03, 0.20595E-04,0.34471E-03,-0.13500E-03, 0.63732E-07, 0.92113E-02, 0.23980E-02, 0.35494E-02,-0.21868E-02, 0.16188E-03,-0.22784E-03
-0.5507536387E+00, 0.98255E+00, 0.42782E+00, 0.13716E+01, 0.10740E+01,-0.17695E-03, 0.65043E-03,0.12475E+01,0.13716E+01,0.10737E+01,-0.53732E-04, 0.65101E-03, 0.12127E-04,0.28939E-03,-0.12322E-03,-0.58285E-06, 0.87150E-02, 0.23563E-02, 0.34507E-02,-0.21093E-02, 0.14410E-03,-0.21135E-03
-0.5284336899E+00, 0.98214E+00, 0.42787E+00, 0.13723E+01, 0.10817E+01,-0.16875E-03, 0.74628E-03,0.12480E+01,0.13723E+01,0.10815E+01,-0.56540E-04, 0.74748E-03, 0.53329E-05,0.24275E-03,-0.11221E-03,-0.11999E-05, 0.82665E-02, 0.23107E-02, 0.33442E-02,-0.20302E-02, 0.12846E-03,-0.19554E-03
-0.5057423529E+00, 0.98178E+00, 0.42792E+00, 0.13730E+01, 0.10891E+01,-0.16157E-03, 0.83138E-03,0.12484E+01,0.13730E+01,0.10889E+01,-0.59556E-04, 0.83304E-03,-0.17264E-08,0.20301E-03,-0.10202E-03,-0.16634E-05, 0.78544E-02, 0.22625E-02, 0.32277E-02,-0.19493E-02, 0.11486E-03,-0.18058E-03
-0.4826955754E+00, 0.98147E+00, 0.42797E+00, 0.13736E+01, 0.10963E+01,-0.15536E-03, 0.89843E-03,0.12488E+01,0.13736E+01,0.10961E+01,-0.62491E-04, 0.90017E-03,-0.41006E-05,0.16913E-03,-0.92868E-04,-0.17459E-05, 0.74729E-02, 0.22134E-02, 0.31058E-02,-0.18668E-02, 0.10328E-03,-0.16682E-03
-0.4593095548E+00, 0.98120E+00, 0.42802E+00, 0.13741E+01, 0.11032E+01,-0.14989E-03, 0.94822E-03,0.12491E+01,0.13741E+01,0.11030E+01,-0.65277E-04, 0.94942E-03,-0.73048E-05,0.14029E-03,-0.84613E-04,-0.11982E-05, 0.71204E-02, 0.21638E-02, 0.29808E-02,-0.17829E-02, 0.93256E-04,-0.15411E-03
